Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score
Decision Tree,1.0,0.9993176057711055,0.9993176075603254,0.9993176057711055,0.9993174782981552
Random Forest,1.0,0.994735815948528,0.99474755107666,0.994735815948528,0.99472674357722
Logistic Regression,0.9539383895496198,0.951452524858647,0.9512251275256304,0.951452524858647,0.951211864820938
SVM,0.9232306492493664,0.9130434782608695,0.9122949600840062,0.9130434782608695,0.9111963816206029
